Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_1 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_10 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_3 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_5 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_1 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_10 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_3 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_5 Docs,roberta-base_q_a_256_roberta-base_q_a_256_1 Docs,roberta-base_q_a_256_roberta-base_q_a_256_10 Docs,roberta-base_q_a_256_roberta-base_q_a_256_3 Docs,roberta-base_q_a_256_roberta-base_q_a_256_5 Docs,t5-base_q_a_256_t5-base_q_a_256_1 Docs,t5-base_q_a_256_t5-base_q_a_256_10 Docs,t5-base_q_a_256_t5-base_q_a_256_3 Docs,t5-base_q_a_256_t5-base_q_a_256_5 Docs
ar21-134a_chunk_5.txt,256,,Review M365 tenant configuration,Review M365 tenant configuration,Review M365 tenant configuration,Review M365 tenant configuration,Kerberos Ticket Granting Ticket account (krbtgt). Note,Kerberos Ticket Granting Ticket account (krbtgt). Note,Kerberos Ticket Granting Ticket account (krbtgt). Note,Kerberos Ticket Granting Ticket account (krbtgt). Note,may take,may take,may take,may take,TRUE,TRUE,TRUE,TRUE
icsa-24-074-11_chunk_7.txt,256,,may allow an authenticated attacker to crash the SSL-VPN daemon,may allow an authenticated attacker to crash the SSL-VPN daemon,may allow an authenticated attacker to crash the SSL-VPN daemon,may allow an authenticated attacker to crash the SSL-VPN daemon,3,3,3,3,IMPROPER INPUT,IMPROPER INPUT,IMPROPER INPUT,IMPROPER INPUT,allows an authenticated attacker to crash the SSL-VPN daemon via specially crafted HTTP requests to the /proxy endpoint,allows an authenticated attacker to crash the SSL-VPN daemon via specially crafted HTTP requests to the /proxy endpoint,allows an authenticated attacker to crash the SSL-VPN daemon via specially crafted HTTP requests to the /proxy endpoint,allows an authenticated attacker to crash the SSL-VPN daemon via specially crafted HTTP requests to the /proxy endpoint
aa21-209a_chunk_6.txt,256,,REvil/Sodinokibi ransomware,3.2.35 IMPROPER RESOURCE SHUTDOWN OR RELEASE CWE-404,3.2.35 IMPROPER RESOURCE SHUTDOWN OR RELEASE CWE-404,3.2.35 IMPROPER RESOURCE SHUTDOWN OR RELEASE CWE-404,.S,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,malware campaigns,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,"Citrix Application Delivery Controller, Gateway, and SD-WAN WANOP",CVE-2023-0286 has been assigned to this vulnerability,FALSE,CVE-2023-0286 has been assigned to this vulnerability
aa21-209a_chunk_12.txt,256,,it enables RCE on vulnerable systems,it enables RCE on vulnerable systems,it enables RCE on vulnerable systems,it enables RCE on vulnerable systems,Equation,Equation,Equation,Equation,processes. Data,processes. Data,processes. Data,processes. Data,TRUE,TRUE,TRUE,TRUE
icsa-24-074-07_chunk_36.txt,256,,remote escalation of privilege,memory leak,memory leak,memory leak,/I:H/A:H). 3.,v3 base score of 7.8 has been assigned,v3 base score of 7.8 has been assigned,v3 base score of 7.8 has been assigned,This could lead to,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,3.2.118 MISSING ENCRYPTION OF SENSITIVE DATA CWE-311,MuddyWater actors are also known to exploit unpatched vulnerabilities as part of their targeted operations,FALSE,FALSE
aa23-074a_chunk_6.txt,256,,permission restraints prevented the service account,permission restraints prevented the service account,permission restraints prevented the service account,permission restraints prevented the service account,.e,.e,.e,.e,addresses,addresses,addresses,addresses,permission restraints prevented the service account from executing the malicious DLLs and writing new files,permission restraints prevented the service account from executing the malicious DLLs and writing new files,permission restraints prevented the service account from executing the malicious DLLs and writing new files,permission restraints prevented the service account from executing the malicious DLLs and writing new files
ar22-277a_chunk_2.txt,256,,to create sessions and establish connections to the server,extortion of the organization,The manipulation leads to memory leak,The manipulation leads to memory leak,"ClientUploader.exe"". The program is a file management system that is capable","enumerate accessible network shares in a domain.[21],[22",7.8 has been assigned,7.8 has been assigned,resources,information on network shares,The manipulation leads to use,The manipulation leads to use,to create sessions and establish connections to the server,Virus Total,FALSE,FALSE
icsa-24-074-07_chunk_48.txt,256,,This could lead to local information disclosure with System execution privileges needed,This could lead to local information disclosure with System execution privileges needed,This could lead to local information disclosure with System execution privileges needed,This could lead to local information disclosure with System execution privileges needed,3,3,3,3,"version. As a general security measure, Siemens recommends protecting","version. As a general security measure, Siemens recommends protecting","version. As a general security measure, Siemens recommends protecting","version. As a general security measure, Siemens recommends protecting","3.2.156 OUT-OF-BOUNDS READ CWE-125 In fdt_path_offset_namelen of fdt_ro.c, there is a possible out-of-bounds read due to an incorrect bounds check",denial-of-service attack,"3.2.156 OUT-OF-BOUNDS READ CWE-125 In fdt_path_offset_namelen of fdt_ro.c, there is a possible out-of-bounds read due to an incorrect bounds check",denial-of-service attack
home-network-security_chunk_9.txt,256,,to ensure maximum protection against the latest threats,to ensure maximum protection against the latest threats,to ensure maximum protection against the latest threats,to ensure maximum protection against the latest threats,"addition to a network firewall, consider installing a firewall on all computers connected","addition to a network firewall, consider installing a firewall on all computers connected","addition to a network firewall, consider installing a firewall on all computers connected","addition to a network firewall, consider installing a firewall on all computers connected",firewall has the most,firewall has the most,firewall has the most,firewall has the most,TRUE,TRUE,TRUE,TRUE
aa23-074a_chunk_16.txt,256,,"cs-uri-stem, and cs-uri-query","cs-uri-stem, and cs-uri-query","cs-uri-stem, and cs-uri-query","cs-uri-stem, and cs-uri-query",redacted*],redacted*],redacted*],redacted*],Payload,Payload,Payload,Payload,,,,
aa23-074a_chunk_11.txt,256,,Detects open-source exploit samples,Detects open-source exploit samples,Detects open-source exploit samples,Detects open-source exploit samples,1 =,1 =,1 =,1 =,$s2 = {,$s2 = {,$s2 = {,$s2 = {,TRUE,TRUE,TRUE,TRUE
icsa-24-046-15_chunk_20.txt,256,,attackers can modify the isInternal value,extortion of the organization,attackers can modify the isInternal value,attackers can modify the isInternal value,2023-30589 has been assigned to this vulnerability,"enumerate accessible network shares in a domain.[21],[22",2023-30589 has been assigned to this vulnerability,2023-30589 has been assigned to this vulnerability,requests. This can lead to,information on network shares,requests. This can lead to,requests. This can lead to,attackers can modify the isInternal value when an inspector is attached within the Worker constructor,FALSE,attackers can modify the isInternal value when an inspector is attached within the Worker constructor,attackers can modify the isInternal value when an inspector is attached within the Worker constructor
icsa-24-046-15_chunk_28.txt,256,,could get the wrong value during a slow SOCKS5 handshake,could get the wrong value during a slow SOCKS5 handshake,could get the wrong value during a slow SOCKS5 handshake,could get the wrong value during a slow SOCKS5 handshake,libcurl provides a function call that duplicates an easy,libcurl provides a function call that duplicates an easy,libcurl provides a function call that duplicates an easy,libcurl provides a function call that duplicates an easy,cookies from would then inadvertently load cookies,cookies from would then inadvertently load cookies,cookies from would then inadvertently load cookies,cookies from would then inadvertently load cookies,could get the wrong value during a slow SOCKS5 handshake,could get the wrong value during a slow SOCKS5 handshake,could get the wrong value during a slow SOCKS5 handshake,could get the wrong value during a slow SOCKS5 handshake
ar23-243a_chunk_12.txt,256,,modified authentication mechanisms in Dropbear,modified authentication mechanisms in Dropbear,modified authentication mechanisms in Dropbear,modified authentication mechanisms in Dropbear,remove_file,remove_file,remove_file,remove_file,function accepts a username and,function accepts a username and,function accepts a username and,function accepts a username and,the actor an indicator that the SSH server is active,the actor an indicator that the SSH server is active,the actor an indicator that the SSH server is active,the actor an indicator that the SSH server is active
aa23-059a_chunk_4.txt,256,,identified several standard user accounts with administrative access,identified several standard user accounts with administrative access,identified several standard user accounts with administrative access,identified several standard user accounts with administrative access,1557.001,1557.001,1557.001,1557.001,authentication against an,authentication against an,authentication against an,authentication against an,The red team queried parsed Bloodhound data for members of the SharePoint admin group,The red team queried parsed Bloodhound data for members of the SharePoint admin group,The red team queried parsed Bloodhound data for members of the SharePoint admin group,The red team queried parsed Bloodhound data for members of the SharePoint admin group
aa23-319a_chunk_8.txt,256,,to execute malicious actions,to execute malicious actions,to execute malicious actions,to execute malicious actions,enumerate servers on a victim domain. System Owner/User Discovery,enumerate servers on a victim domain. System Owner/User Discovery,enumerate servers on a victim domain. System Owner/User Discovery,enumerate servers on a victim domain. System Owner/User Discovery,users,users,users,users,Automate ransomware execution,cyber threat actor’s PowerShell use,Automate ransomware execution,Automate ransomware execution
